cluster_id,signal,occurrences,distinct_texts,files,boilerplate_class,internally_divergent,divergence_triggers,min_pairwise_similarity,formed_by_chaining,proposed_representative_id,proposed_representative_file,proposed_representative_line,authority_reason,dates,ratified_by,member_ids,representative_text_excerpt_grouped_clusters_only_full_text_in_decision_candidates_json
DC-12278,1-text,1,1,1,,,,,,DH-12981,cc_stage4b_ii_report.md,195,Claude Code session report or dispatch (a restatement by construction),,,DH-12981,
DC-12279,1-text,1,1,1,,,,,,DH-12982,cc_stage4b_ii_report.md,199,Claude Code session report or dispatch (a restatement by construction),,,DH-12982,
DC-12280,1-text,1,1,1,,,,,,DH-12983,cc_stage4b_ii_report.md,204,Claude Code session report or dispatch (a restatement by construction),,,DH-12983,
DC-12281,1-text,1,1,1,,,,,,DH-12984,cc_stage4b_ii_report.md,212,Claude Code session report or dispatch (a restatement by construction),,,DH-12984,
DC-12282,1-text,1,1,1,,,,,,DH-12985,cc_stage4b_ii_report.md,222,Claude Code session report or dispatch (a restatement by construction),,,DH-12985,
DC-12283,1-text,1,1,1,,,,,,DH-12986,cc_stage4b_ii_report.md,225,Claude Code session report or dispatch (a restatement by construction),,,DH-12986,
DC-12284,1-text,1,1,1,,,,,,DH-12987,cc_stage4b_ii_report.md,229,Claude Code session report or dispatch (a restatement by construction),,,DH-12987,
DC-12285,1-text,1,1,1,,,,,,DH-12988,cc_stage4b_scoping_dossier.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-12988,
DC-12286,1-text,1,1,1,,,,,,DH-12989,cc_stage4b_scoping_dossier.md,27,Claude Code session report or dispatch (a restatement by construction),,,DH-12989,
DC-12287,1-text,1,1,1,,,,,,DH-12990,cc_stage4b_scoping_dossier.md,92,Claude Code session report or dispatch (a restatement by construction),,,DH-12990,
DC-12288,1-text,1,1,1,,,,,,DH-12991,cc_stage4b_scoping_dossier.md,122,Claude Code session report or dispatch (a restatement by construction),,,DH-12991,
DC-12289,1-text,1,1,1,,,,,,DH-12992,cc_stage4b_scoping_dossier.md,127,Claude Code session report or dispatch (a restatement by construction),,,DH-12992,
DC-12290,1-text,1,1,1,,,,,,DH-12993,cc_stage4b_scoping_dossier.md,156,Claude Code session report or dispatch (a restatement by construction),,,DH-12993,
DC-12291,1-text,1,1,1,,,,,,DH-12994,cc_stage4b_scoping_dossier.md,159,Claude Code session report or dispatch (a restatement by construction),,,DH-12994,
DC-12292,1-text,1,1,1,,,,,,DH-12995,cc_stage4b_scoping_dossier.md,182,Claude Code session report or dispatch (a restatement by construction),,,DH-12995,
DC-12293,1-text,1,1,1,,,,,,DH-12996,cc_stage4b_scoping_dossier.md,218,Claude Code session report or dispatch (a restatement by construction),,,DH-12996,
DC-12294,1-text,1,1,1,,,,,,DH-12997,cc_stage4b_scoping_dossier.md,228,Claude Code session report or dispatch (a restatement by construction),,,DH-12997,
DC-12295,1-text,1,1,1,,,,,,DH-12998,cc_stage4b_scoping_dossier.md,230,Claude Code session report or dispatch (a restatement by construction),,,DH-12998,
DC-12296,1-text,1,1,1,,,,,,DH-12999,cc_stage4b_scoping_dossier.md,237,Claude Code session report or dispatch (a restatement by construction),,,DH-12999,
DC-12297,1-text,1,1,1,,,,,,DH-13000,cc_stage4b_scoping_dossier.md,248,Claude Code session report or dispatch (a restatement by construction),,,DH-13000,
DC-12298,1-text,1,1,1,,,,,,DH-13001,cc_stage4b_scoping_dossier.md,253,Claude Code session report or dispatch (a restatement by construction),,,DH-13001,
DC-12299,1-text,1,1,1,,,,,,DH-13002,cc_stage4b_scoping_dossier.md,264,Claude Code session report or dispatch (a restatement by construction),,,DH-13002,
DC-12300,1-text,1,1,1,,,,,,DH-13003,cc_stage4b_scoping_dossier.md,268,Claude Code session report or dispatch (a restatement by construction),,,DH-13003,
DC-12301,1-text,1,1,1,,,,,,DH-13004,cc_stage4b_scoping_dossier.md,271,Claude Code session report or dispatch (a restatement by construction),,,DH-13004,
DC-12302,1-text,1,1,1,,,,,,DH-13005,cc_stage4b_scoping_dossier.md,279,Claude Code session report or dispatch (a restatement by construction),,,DH-13005,
DC-12303,1-text,1,1,1,,,,,,DH-13006,cc_stage4c_i_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-13006,
DC-12304,1-text,1,1,1,,,,,,DH-13007,cc_stage4c_i_report.md,9,Claude Code session report or dispatch (a restatement by construction),,,DH-13007,
DC-12305,1-text,1,1,1,,,,,,DH-13008,cc_stage4c_i_report.md,30,Claude Code session report or dispatch (a restatement by construction),,,DH-13008,
DC-12306,1-text,1,1,1,,,,,,DH-13009,cc_stage4c_i_report.md,38,Claude Code session report or dispatch (a restatement by construction),,,DH-13009,
DC-12307,1-text,1,1,1,,,,,,DH-13010,cc_stage4c_i_report.md,47,Claude Code session report or dispatch (a restatement by construction),,,DH-13010,
DC-12308,1-text,1,1,1,,,,,,DH-13011,cc_stage4c_i_report.md,55,Claude Code session report or dispatch (a restatement by construction),,,DH-13011,
DC-12309,1-text,1,1,1,,,,,,DH-13012,cc_stage4c_i_report.md,63,Claude Code session report or dispatch (a restatement by construction),,,DH-13012,
DC-12310,1-text,1,1,1,,,,,,DH-13013,cc_stage4c_i_report.md,135,Claude Code session report or dispatch (a restatement by construction),,,DH-13013,
DC-12311,1-text,1,1,1,,,,,,DH-13014,cc_stage4c_i_report.md,154,Claude Code session report or dispatch (a restatement by construction),,,DH-13014,
DC-12312,1-text,1,1,1,,,,,,DH-13015,cc_stage4c_i_report.md,170,Claude Code session report or dispatch (a restatement by construction),,,DH-13015,
DC-12313,1-text,1,1,1,,,,,,DH-13016,cc_stage4c_i_report.md,172,Claude Code session report or dispatch (a restatement by construction),,,DH-13016,
DC-12314,1-text,1,1,1,,,,,,DH-13019,cc_stage4c_iii_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-13019,
DC-12315,1-text,1,1,1,,,,,,DH-13020,cc_stage4c_iii_report.md,9,Claude Code session report or dispatch (a restatement by construction),,,DH-13020,
DC-12316,1-text,1,1,1,,,,,,DH-13021,cc_stage4c_iii_report.md,35,Claude Code session report or dispatch (a restatement by construction),,,DH-13021,
DC-12317,1-text,1,1,1,,,,,,DH-13022,cc_stage4c_iii_report.md,45,Claude Code session report or dispatch (a restatement by construction),,,DH-13022,
DC-12318,1-text,1,1,1,,,,,,DH-13023,cc_stage4c_iii_report.md,51,Claude Code session report or dispatch (a restatement by construction),,,DH-13023,
DC-12319,1-text,1,1,1,,,,,,DH-13024,cc_stage4c_iii_report.md,65,Claude Code session report or dispatch (a restatement by construction),,,DH-13024,
DC-12320,1-text,1,1,1,,,,,,DH-13025,cc_stage4c_iii_report.md,110,Claude Code session report or dispatch (a restatement by construction),,,DH-13025,
DC-12321,1-text,1,1,1,,,,,,DH-13026,cc_stage4c_iii_report.md,131,Claude Code session report or dispatch (a restatement by construction),,,DH-13026,
DC-12322,1-text,1,1,1,,,,,,DH-13027,cc_stage4c_iii_report.md,148,Claude Code session report or dispatch (a restatement by construction),,,DH-13027,
DC-12323,1-text,1,1,1,,,,,,DH-13030,cc_stage4d_i_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-13030,
DC-12324,1-text,1,1,1,,,,,,DH-13031,cc_stage4d_i_report.md,16,Claude Code session report or dispatch (a restatement by construction),,,DH-13031,
DC-12325,1-text,1,1,1,,,,,,DH-13032,cc_stage4d_i_report.md,19,Claude Code session report or dispatch (a restatement by construction),,,DH-13032,
DC-12326,1-text,1,1,1,,,,,,DH-13033,cc_stage4d_i_report.md,20,Claude Code session report or dispatch (a restatement by construction),,,DH-13033,
DC-12327,1-text,1,1,1,,,,,,DH-13034,cc_stage4d_i_report.md,21,Claude Code session report or dispatch (a restatement by construction),,,DH-13034,
DC-12328,1-text,1,1,1,,,,,,DH-13035,cc_stage4d_i_report.md,23,Claude Code session report or dispatch (a restatement by construction),,,DH-13035,
DC-12329,1-text,1,1,1,,,,,,DH-13036,cc_stage4d_i_report.md,40,Claude Code session report or dispatch (a restatement by construction),,,DH-13036,
DC-12330,1-text,1,1,1,,,,,,DH-13037,cc_stage4d_i_report.md,67,Claude Code session report or dispatch (a restatement by construction),,,DH-13037,
DC-12331,1-text,1,1,1,,,,,,DH-13038,cc_stage4d_i_report.md,69,Claude Code session report or dispatch (a restatement by construction),,,DH-13038,
DC-12332,1-text,1,1,1,,,,,,DH-13039,cc_stage4d_i_report.md,86,Claude Code session report or dispatch (a restatement by construction),,,DH-13039,
DC-12333,1-text,1,1,1,,,,,,DH-13040,cc_stage4d_i_report.md,103,Claude Code session report or dispatch (a restatement by construction),,,DH-13040,
DC-12334,1-text,1,1,1,,,,,,DH-13041,cc_stage4d_i_report.md,138,Claude Code session report or dispatch (a restatement by construction),,,DH-13041,
DC-12335,1-text,1,1,1,,,,,,DH-13042,cc_stage4d_i_report.md,189,Claude Code session report or dispatch (a restatement by construction),,,DH-13042,
DC-12336,1-text,1,1,1,,,,,,DH-13043,cc_stage4d_i_report.md,190,Claude Code session report or dispatch (a restatement by construction),,,DH-13043,
DC-12337,1-text,1,1,1,,,,,,DH-13044,cc_stage4d_i_report.md,193,Claude Code session report or dispatch (a restatement by construction),,,DH-13044,
DC-12338,1-text,1,1,1,,,,,,DH-13045,cc_stage4d_i_report.md,201,Claude Code session report or dispatch (a restatement by construction),,,DH-13045,
DC-12339,1-text,1,1,1,,,,,,DH-13046,cc_stage4d_i_report.md,208,Claude Code session report or dispatch (a restatement by construction),,,DH-13046,
DC-12340,1-text,1,1,1,,,,,,DH-13047,cc_stage4d_i_report.md,214,Claude Code session report or dispatch (a restatement by construction),,,DH-13047,
DC-12341,1-text,1,1,1,,,,,,DH-13048,cc_stage4d_i_report.md,217,Claude Code session report or dispatch (a restatement by construction),,,DH-13048,
DC-12342,1-text,1,1,1,,,,,,DH-13049,cc_stage4d_i_report.md,221,Claude Code session report or dispatch (a restatement by construction),,,DH-13049,
DC-12343,1-text,1,1,1,,,,,,DH-13050,cc_stage4d_i_report.md,225,Claude Code session report or dispatch (a restatement by construction),,,DH-13050,
DC-12344,1-text,1,1,1,,,,,,DH-13051,cc_stage4d_i_report.md,227,Claude Code session report or dispatch (a restatement by construction),,,DH-13051,
DC-12345,1-text,1,1,1,,,,,,DH-13052,cc_stage4d_i_report.md,236,Claude Code session report or dispatch (a restatement by construction),,,DH-13052,
DC-12346,1-text,1,1,1,,,,,,DH-13053,cc_stage5_phase0_report.md,14,Claude Code session report or dispatch (a restatement by construction),,,DH-13053,
DC-12347,1-text,1,1,1,,,,,,DH-13054,cc_stage5_phase0_report.md,23,Claude Code session report or dispatch (a restatement by construction),,,DH-13054,
DC-12348,1-text,1,1,1,,,,,,DH-13055,cc_stage5_phase0_report.md,24,Claude Code session report or dispatch (a restatement by construction),,,DH-13055,
DC-12349,1-text,1,1,1,,,,,,DH-13056,cc_stage5_phase0_report.md,26,Claude Code session report or dispatch (a restatement by construction),,,DH-13056,
DC-12350,1-text,1,1,1,,,,,,DH-13057,cc_stage5_phase0_report.md,28,Claude Code session report or dispatch (a restatement by construction),,,DH-13057,
DC-12351,1-text,1,1,1,,,,,,DH-13058,cc_stage5_phase0_report.md,30,Claude Code session report or dispatch (a restatement by construction),,,DH-13058,
DC-12352,1-text,1,1,1,,,,,,DH-13059,cc_stage5_phase0_report.md,50,Claude Code session report or dispatch (a restatement by construction),,,DH-13059,
DC-12353,1-text,1,1,1,,,,,,DH-13060,cc_stage5_phase0_report.md,61,Claude Code session report or dispatch (a restatement by construction),,,DH-13060,
DC-12354,1-text,1,1,1,,,,,,DH-13061,cc_stage5_phase0_report.md,63,Claude Code session report or dispatch (a restatement by construction),,,DH-13061,
DC-12355,1-text,1,1,1,,,,,,DH-13062,cc_stage5_phase0_report.md,72,Claude Code session report or dispatch (a restatement by construction),,,DH-13062,
DC-12356,1-text,1,1,1,,,,,,DH-13063,cc_stage5_phase0_report.md,88,Claude Code session report or dispatch (a restatement by construction),,,DH-13063,
DC-12357,1-text,1,1,1,,,,,,DH-13064,cc_stage5_phase0_report.md,98,Claude Code session report or dispatch (a restatement by construction),,,DH-13064,
DC-12358,1-text,1,1,1,,,,,,DH-13065,cc_stage5_phase0_report.md,100,Claude Code session report or dispatch (a restatement by construction),,,DH-13065,
DC-12359,1-text,1,1,1,,,,,,DH-13067,cc_stage5_phase0_report.md,132,Claude Code session report or dispatch (a restatement by construction),,,DH-13067,
DC-12360,1-text,1,1,1,,,,,,DH-13068,cc_stage5_phase0_report.md,136,Claude Code session report or dispatch (a restatement by construction),,,DH-13068,
DC-12361,1-text,1,1,1,,,,,,DH-13069,cc_stage5_phase0_report.md,138,Claude Code session report or dispatch (a restatement by construction),,,DH-13069,
DC-12362,1-text,1,1,1,,,,,,DH-13070,cc_stage5_phase0_report.md,142,Claude Code session report or dispatch (a restatement by construction),,,DH-13070,
DC-12363,1-text,1,1,1,,,,,,DH-13071,cc_stage5_phase1_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-13071,
DC-12364,1-text,1,1,1,,,,,,DH-13072,cc_stage5_phase1_report.md,26,Claude Code session report or dispatch (a restatement by construction),,,DH-13072,
DC-12365,1-text,1,1,1,,,,,,DH-13074,cc_stage5_phase1_report.md,36,Claude Code session report or dispatch (a restatement by construction),,,DH-13074,
DC-12366,1-text,1,1,1,,,,,,DH-13075,cc_stage5_phase1_report.md,42,Claude Code session report or dispatch (a restatement by construction),,,DH-13075,
DC-12367,1-text,1,1,1,,,,,,DH-13076,cc_stage5_phase1_report.md,62,Claude Code session report or dispatch (a restatement by construction),,,DH-13076,
DC-12368,1-text,1,1,1,,,,,,DH-13077,cc_stage5_phase1_report.md,69,Claude Code session report or dispatch (a restatement by construction),,,DH-13077,
DC-12369,1-text,1,1,1,,,,,,DH-13078,cc_stage5_phase1_report.md,94,Claude Code session report or dispatch (a restatement by construction),,,DH-13078,
DC-12370,1-text,1,1,1,,,,,,DH-13079,cc_stage5_phase1_report.md,96,Claude Code session report or dispatch (a restatement by construction),,,DH-13079,
DC-12371,1-text,1,1,1,,,,,,DH-13080,cc_stage5_phase1_report.md,99,Claude Code session report or dispatch (a restatement by construction),,,DH-13080,
DC-12372,1-text,1,1,1,,,,,,DH-13081,cc_stage5_phase1_report.md,101,Claude Code session report or dispatch (a restatement by construction),,,DH-13081,
DC-12373,1-text,1,1,1,,,,,,DH-13082,cc_stage5_phase1_report.md,103,Claude Code session report or dispatch (a restatement by construction),,,DH-13082,
DC-12374,1-text,1,1,1,,,,,,DH-13083,cc_stage5_phase1_report.md,109,Claude Code session report or dispatch (a restatement by construction),,,DH-13083,
DC-12375,1-text,1,1,1,,,,,,DH-13084,cc_stage5_phase1_report.md,115,Claude Code session report or dispatch (a restatement by construction),,,DH-13084,
DC-12376,1-text,1,1,1,,,,,,DH-13085,cc_stage5_phase1_report.md,129,Claude Code session report or dispatch (a restatement by construction),,,DH-13085,
DC-12377,1-text,1,1,1,,,,,,DH-13086,cc_stage5_phase1_report.md,142,Claude Code session report or dispatch (a restatement by construction),,,DH-13086,
DC-12378,1-text,1,1,1,,,,,,DH-13087,cc_stage5_phase1_report.md,159,Claude Code session report or dispatch (a restatement by construction),,,DH-13087,
DC-12379,1-text,1,1,1,,,,,,DH-13088,cc_stage5_phase1_report.md,169,Claude Code session report or dispatch (a restatement by construction),,,DH-13088,
DC-12380,1-text,1,1,1,,,,,,DH-13089,cc_stage5_phase1_report.md,178,Claude Code session report or dispatch (a restatement by construction),,,DH-13089,
DC-12381,1-text,1,1,1,,,,,,DH-13090,cc_stage5_phase1_report.md,180,Claude Code session report or dispatch (a restatement by construction),,,DH-13090,
DC-12382,1-text,1,1,1,,,,,,DH-13091,cc_stage5_phase1_report.md,191,Claude Code session report or dispatch (a restatement by construction),,,DH-13091,
DC-12383,1-text,1,1,1,,,,,,DH-13092,cc_stage5_phase1_report.md,193,Claude Code session report or dispatch (a restatement by construction),,,DH-13092,
DC-12384,1-text,1,1,1,,,,,,DH-13093,cc_stage5_phase1_report.md,217,Claude Code session report or dispatch (a restatement by construction),,,DH-13093,
DC-12385,1-text,1,1,1,,,,,,DH-13094,cc_stage5_phase1_report.md,226,Claude Code session report or dispatch (a restatement by construction),,,DH-13094,
DC-12386,1-text,1,1,1,,,,,,DH-13095,cc_stage5_phase1_report.md,228,Claude Code session report or dispatch (a restatement by construction),,,DH-13095,
DC-12387,1-text,1,1,1,,,,,,DH-13097,cc_stage5_phase1_report.md,241,Claude Code session report or dispatch (a restatement by construction),,,DH-13097,
DC-12388,1-text,1,1,1,,,,,,DH-13098,cc_stage5_phase1_report.md,244,Claude Code session report or dispatch (a restatement by construction),,,DH-13098,
DC-12389,1-text,1,1,1,,,,,,DH-13099,cc_stage5_phase1_report.md,248,Claude Code session report or dispatch (a restatement by construction),,,DH-13099,
DC-12390,1-text,1,1,1,,,,,,DH-13100,cc_stage5_phase1_report.md,250,Claude Code session report or dispatch (a restatement by construction),,,DH-13100,
DC-12391,1-text,1,1,1,,,,,,DH-13101,cc_stage5_phase1_report.md,259,Claude Code session report or dispatch (a restatement by construction),,,DH-13101,
DC-12392,1-text,1,1,1,,,,,,DH-13102,cc_stage5_phase1_report.md,262,Claude Code session report or dispatch (a restatement by construction),,,DH-13102,
DC-12393,1-text,1,1,1,,,,,,DH-13103,cc_stage5_phase1_report.md,264,Claude Code session report or dispatch (a restatement by construction),,,DH-13103,
DC-12394,1-text,1,1,1,,,,,,DH-13104,cc_stage5_phase1_report.md,268,Claude Code session report or dispatch (a restatement by construction),,,DH-13104,
DC-12395,1-text,1,1,1,,,,,,DH-13105,cc_stage5_phase1_report.md,271,Claude Code session report or dispatch (a restatement by construction),,,DH-13105,
DC-12396,1-text,1,1,1,,,,,,DH-13106,cc_stage5_phase1_report.md,276,Claude Code session report or dispatch (a restatement by construction),,,DH-13106,
DC-12397,1-text,1,1,1,,,,,,DH-13107,cc_stage5_phase1_report.md,285,Claude Code session report or dispatch (a restatement by construction),,,DH-13107,
DC-12398,1-text,1,1,1,,,,,,DH-13109,cc_stage5_phase1_report.md,303,Claude Code session report or dispatch (a restatement by construction),,,DH-13109,
DC-12399,1-text,1,1,1,,,,,,DH-13110,cc_stage5_phase1_report.md,304,Claude Code session report or dispatch (a restatement by construction),,,DH-13110,
DC-12400,1-text,1,1,1,,,,,,DH-13111,cc_stage5_phase2_1_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-13111,
DC-12401,1-text,1,1,1,,,,,,DH-13112,cc_stage5_phase2_1_report.md,14,Claude Code session report or dispatch (a restatement by construction),,,DH-13112,
DC-12402,1-text,1,1,1,,,,,,DH-13113,cc_stage5_phase2_1_report.md,24,Claude Code session report or dispatch (a restatement by construction),,,DH-13113,
DC-12403,1-text,1,1,1,,,,,,DH-13114,cc_stage5_phase2_1_report.md,32,Claude Code session report or dispatch (a restatement by construction),,,DH-13114,
DC-12404,1-text,1,1,1,,,,,,DH-13116,cc_stage5_phase2_1_report.md,35,Claude Code session report or dispatch (a restatement by construction),,,DH-13116,
DC-12405,1-text,1,1,1,,,,,,DH-13117,cc_stage5_phase2_1_report.md,37,Claude Code session report or dispatch (a restatement by construction),,,DH-13117,
DC-12406,1-text,1,1,1,,,,,,DH-13118,cc_stage5_phase2_1_report.md,43,Claude Code session report or dispatch (a restatement by construction),,,DH-13118,
DC-12407,1-text,1,1,1,,,,,,DH-13119,cc_stage5_phase2_1_report.md,47,Claude Code session report or dispatch (a restatement by construction),,,DH-13119,
DC-12408,1-text,1,1,1,,,,,,DH-13120,cc_stage5_phase2_1_report.md,69,Claude Code session report or dispatch (a restatement by construction),,,DH-13120,
DC-12409,1-text,1,1,1,,,,,,DH-13121,cc_stage5_phase2_1_report.md,71,Claude Code session report or dispatch (a restatement by construction),,,DH-13121,
DC-12410,1-text,1,1,1,,,,,,DH-13122,cc_stage5_phase2_1_report.md,73,Claude Code session report or dispatch (a restatement by construction),,,DH-13122,
DC-12411,1-text,1,1,1,,,,,,DH-13123,cc_stage5_phase2_1_report.md,77,Claude Code session report or dispatch (a restatement by construction),,,DH-13123,
DC-12412,1-text,1,1,1,,,,,,DH-13124,cc_stage5_phase2_1_report.md,79,Claude Code session report or dispatch (a restatement by construction),,,DH-13124,
DC-12413,1-text,1,1,1,,,,,,DH-13125,cc_stage5_phase2_1_report.md,84,Claude Code session report or dispatch (a restatement by construction),,,DH-13125,
DC-12414,1-text,1,1,1,,,,,,DH-13126,cc_stage5_phase2_1_report.md,86,Claude Code session report or dispatch (a restatement by construction),,,DH-13126,
DC-12415,1-text,1,1,1,,,,,,DH-13127,cc_stage5_phase2_1_report.md,96,Claude Code session report or dispatch (a restatement by construction),,,DH-13127,
DC-12416,1-text,1,1,1,,,,,,DH-13128,cc_stage5_phase2_1_report.md,97,Claude Code session report or dispatch (a restatement by construction),,,DH-13128,
DC-12417,1-text,1,1,1,,,,,,DH-13129,cc_stage5_phase2_1_report.md,98,Claude Code session report or dispatch (a restatement by construction),,,DH-13129,
DC-12418,1-text,1,1,1,,,,,,DH-13130,cc_stage5_phase2_1_report.md,108,Claude Code session report or dispatch (a restatement by construction),,,DH-13130,
DC-12419,1-text,1,1,1,,,,,,DH-13131,cc_stage5_phase2_1_report.md,114,Claude Code session report or dispatch (a restatement by construction),,,DH-13131,
DC-12420,1-text,1,1,1,,,,,,DH-13132,cc_stage5_phase2_1_report.md,131,Claude Code session report or dispatch (a restatement by construction),,,DH-13132,
DC-12421,1-text,1,1,1,,,,,,DH-13133,cc_stage5_phase2_1_report.md,138,Claude Code session report or dispatch (a restatement by construction),,,DH-13133,
DC-12422,1-text,1,1,1,,,,,,DH-13135,cc_stage5_phase2_1_report.md,145,Claude Code session report or dispatch (a restatement by construction),,,DH-13135,
DC-12423,1-text,1,1,1,,,,,,DH-13136,cc_stage5_phase2_1_report.md,147,Claude Code session report or dispatch (a restatement by construction),,,DH-13136,
DC-12424,1-text,1,1,1,,,,,,DH-13137,cc_stage5_phase2_1_report.md,148,Claude Code session report or dispatch (a restatement by construction),,,DH-13137,
DC-12425,1-text,1,1,1,,,,,,DH-13139,cc_stage5_phase2_1_report.md,167,Claude Code session report or dispatch (a restatement by construction),,,DH-13139,
DC-12426,1-text,1,1,1,,,,,,DH-13140,cc_stage5_phase2_1_report.md,172,Claude Code session report or dispatch (a restatement by construction),,,DH-13140,
DC-12427,1-text,1,1,1,,,,,,DH-13141,cc_stage5_phase2_1_report.md,174,Claude Code session report or dispatch (a restatement by construction),,,DH-13141,
DC-12428,1-text,1,1,1,,,,,,DH-13142,cc_stage5_phase2_2a_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-13142,
DC-12429,1-text,1,1,1,,,,,,DH-13143,cc_stage5_phase2_2a_report.md,23,Claude Code session report or dispatch (a restatement by construction),,,DH-13143,
DC-12430,1-text,1,1,1,,,,,,DH-13144,cc_stage5_phase2_2a_report.md,33,Claude Code session report or dispatch (a restatement by construction),,,DH-13144,
DC-12431,1-text,1,1,1,,,,,,DH-13145,cc_stage5_phase2_2a_report.md,39,Claude Code session report or dispatch (a restatement by construction),,,DH-13145,
DC-12432,1-text,1,1,1,,,,,,DH-13146,cc_stage5_phase2_2a_report.md,55,Claude Code session report or dispatch (a restatement by construction),,,DH-13146,
DC-12433,1-text,1,1,1,,,,,,DH-13147,cc_stage5_phase2_2a_report.md,57,Claude Code session report or dispatch (a restatement by construction),,,DH-13147,
DC-12434,1-text,1,1,1,,,,,,DH-13148,cc_stage5_phase2_2a_report.md,59,Claude Code session report or dispatch (a restatement by construction),,,DH-13148,
DC-12435,1-text,1,1,1,,,,,,DH-13149,cc_stage5_phase2_2a_report.md,60,Claude Code session report or dispatch (a restatement by construction),,,DH-13149,
DC-12436,1-text,1,1,1,,,,,,DH-13150,cc_stage5_phase2_2a_report.md,65,Claude Code session report or dispatch (a restatement by construction),,,DH-13150,
DC-12437,1-text,1,1,1,,,,,,DH-13151,cc_stage5_phase2_2a_report.md,69,Claude Code session report or dispatch (a restatement by construction),,,DH-13151,
DC-12438,1-text,1,1,1,,,,,,DH-13152,cc_stage5_phase2_2a_report.md,72,Claude Code session report or dispatch (a restatement by construction),,,DH-13152,
DC-12439,1-text,1,1,1,,,,,,DH-13153,cc_stage5_phase2_2a_report.md,78,Claude Code session report or dispatch (a restatement by construction),,,DH-13153,
DC-12440,1-text,1,1,1,,,,,,DH-13154,cc_stage5_phase2_2a_report.md,99,Claude Code session report or dispatch (a restatement by construction),,,DH-13154,
DC-12441,1-text,1,1,1,,,,,,DH-13155,cc_stage5_phase2_2a_report.md,101,Claude Code session report or dispatch (a restatement by construction),,,DH-13155,
DC-12442,1-text,1,1,1,,,,,,DH-13156,cc_stage5_phase2_2a_report.md,105,Claude Code session report or dispatch (a restatement by construction),,,DH-13156,
DC-12443,1-text,1,1,1,,,,,,DH-13157,cc_stage5_phase2_2a_report.md,109,Claude Code session report or dispatch (a restatement by construction),,,DH-13157,
DC-12444,1-text,1,1,1,,,,,,DH-13158,cc_stage5_phase2_2a_report.md,115,Claude Code session report or dispatch (a restatement by construction),,,DH-13158,
DC-12445,1-text,1,1,1,,,,,,DH-13159,cc_stage5_phase2_2a_report.md,117,Claude Code session report or dispatch (a restatement by construction),,,DH-13159,
DC-12446,1-text,1,1,1,,,,,,DH-13160,cc_stage5_phase2_2a_report.md,119,Claude Code session report or dispatch (a restatement by construction),,,DH-13160,
DC-12447,1-text,1,1,1,,,,,,DH-13161,cc_stage5_phase2_2a_report.md,120,Claude Code session report or dispatch (a restatement by construction),,,DH-13161,
DC-12448,1-text,1,1,1,,,,,,DH-13162,cc_stage5_phase2_2a_report.md,124,Claude Code session report or dispatch (a restatement by construction),,,DH-13162,
DC-12449,1-text,1,1,1,,,,,,DH-13163,cc_stage5_phase2_2a_report.md,128,Claude Code session report or dispatch (a restatement by construction),,,DH-13163,
DC-12450,1-text,1,1,1,,,,,,DH-13165,cc_stage5_phase2_2a_report.md,145,Claude Code session report or dispatch (a restatement by construction),,,DH-13165,
DC-12451,1-text,1,1,1,,,,,,DH-13167,cc_stage5_phase2_2a_report.md,152,Claude Code session report or dispatch (a restatement by construction),,,DH-13167,
DC-12452,1-text,1,1,1,,,,,,DH-13168,cc_stage5_phase2_2a_report.md,153,Claude Code session report or dispatch (a restatement by construction),,,DH-13168,
DC-12453,1-text,1,1,1,,,,,,DH-13169,cc_stage5_phase2_2a_report.md,160,Claude Code session report or dispatch (a restatement by construction),,,DH-13169,
DC-12454,1-text,1,1,1,,,,,,DH-13170,cc_stage5_phase2_2a_report.md,162,Claude Code session report or dispatch (a restatement by construction),,,DH-13170,
DC-12455,1-text,1,1,1,,,,,,DH-13171,cc_stage5_phase2_2b_report.md,1,Claude Code session report or dispatch (a restatement by construction),,,DH-13171,
DC-12456,1-text,1,1,1,,,,,,DH-13172,cc_stage5_phase2_2b_report.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-13172,
DC-12457,1-text,1,1,1,,,,,,DH-13173,cc_stage5_phase2_2b_report.md,22,Claude Code session report or dispatch (a restatement by construction),,,DH-13173,
DC-12458,1-text,1,1,1,,,,,,DH-13174,cc_stage5_phase2_2b_report.md,24,Claude Code session report or dispatch (a restatement by construction),,,DH-13174,
DC-12459,1-text,1,1,1,,,,,,DH-13176,cc_stage5_phase2_2b_report.md,31,Claude Code session report or dispatch (a restatement by construction),,,DH-13176,
DC-12460,1-text,1,1,1,,,,,,DH-13177,cc_stage5_phase2_2b_report.md,39,Claude Code session report or dispatch (a restatement by construction),,,DH-13177,
DC-12461,1-text,1,1,1,,,,,,DH-13178,cc_stage5_phase2_2b_report.md,41,Claude Code session report or dispatch (a restatement by construction),,,DH-13178,
